(AICL) root@7836ba81ff57:~/yolo/AICL#     bash ./scripts/train.sh
[0.3194 0.2905 0.2586 0.2206 0.1663 0.1125 0.0609]
epoch=    3  step=   50  Loss=4.7942  cls_acc=50.00  best_map=20.41
[0.4472 0.4064 0.3623 0.3045 0.2327 0.1610 0.0882]
epoch=    7  step=  100  Loss=3.6501  cls_acc=63.33  best_map=28.60
[0.5145 0.4676 0.4135 0.3463 0.2677 0.1884 0.1023]
epoch=   11  step=  150  Loss=2.9776  cls_acc=69.05  best_map=32.86
[0.5607 0.5126 0.4576 0.3813 0.2983 0.2062 0.1192]
epoch=   15  step=  200  Loss=2.5683  cls_acc=70.48  best_map=36.23
[0.6116 0.5601 0.4979 0.4127 0.3236 0.2282 0.1341]
epoch=   19  step=  250  Loss=2.3464  cls_acc=78.10  best_map=39.54
[0.6382 0.5855 0.5219 0.4328 0.3335 0.2353 0.1384]
epoch=   23  step=  300  Loss=2.1635  cls_acc=81.43  best_map=41.22
[0.6489 0.5978 0.5298 0.4402 0.3432 0.2417 0.1409]
epoch=   26  step=  350  Loss=2.0197  cls_acc=83.33  best_map=42.04
[0.6532 0.6001 0.5332 0.4422 0.3418 0.2425 0.1428]
epoch=   30  step=  400  Loss=1.9189  cls_acc=82.86  best_map=42.23
[0.6612 0.6077 0.5382 0.4507 0.3477 0.2457 0.1432]
epoch=   34  step=  450  Loss=1.8465  cls_acc=82.86  best_map=42.78
[0.6683 0.6166 0.5453 0.4554 0.3522 0.2478 0.1476]
epoch=   38  step=  500  Loss=1.7879  cls_acc=83.33  best_map=43.33
[0.6736 0.6256 0.5533 0.4645 0.3605 0.2514 0.1449]
epoch=   42  step=  550  Loss=1.7077  cls_acc=85.24  best_map=43.91
[0.6765 0.6259 0.5531 0.4603 0.3533 0.2517 0.1438]
epoch=   46  step=  600  Loss=1.6821  cls_acc=84.76  best_map=43.91
[0.6706 0.6184 0.5480 0.4576 0.3549 0.2470 0.1501]
epoch=   49  step=  650  Loss=1.6238  cls_acc=83.33  best_map=43.91
[0.6808 0.6311 0.5592 0.4659 0.3599 0.2542 0.1482]
epoch=   53  step=  700  Loss=1.6038  cls_acc=86.67  best_map=44.28
[0.6780 0.6274 0.5538 0.4639 0.3575 0.2513 0.1532]
epoch=   57  step=  750  Loss=1.5702  cls_acc=83.33  best_map=44.28
[0.6794 0.6324 0.5588 0.4624 0.3596 0.2546 0.1477]
epoch=   61  step=  800  Loss=1.5164  cls_acc=84.29  best_map=44.28
[0.6744 0.6296 0.5589 0.4682 0.3632 0.2512 0.1466]
epoch=   65  step=  850  Loss=1.4949  cls_acc=84.29  best_map=44.28
[0.6803 0.6321 0.5598 0.4709 0.3643 0.2563 0.1481]
epoch=   69  step=  900  Loss=1.4651  cls_acc=86.19  best_map=44.45
[0.6870 0.6380 0.5666 0.4734 0.3651 0.2564 0.1505]
epoch=   73  step=  950  Loss=1.4335  cls_acc=85.24  best_map=44.82
[0.6858 0.6384 0.5652 0.4755 0.3643 0.2561 0.1532]
epoch=   76  step= 1000  Loss=1.3942  cls_acc=83.81  best_map=44.84
[0.6837 0.6389 0.5665 0.4771 0.3654 0.2558 0.1551]
epoch=   80  step= 1050  Loss=1.3826  cls_acc=85.24  best_map=44.89
[0.6864 0.6409 0.5657 0.4733 0.3629 0.2523 0.1524]
epoch=   84  step= 1100  Loss=1.3415  cls_acc=85.71  best_map=44.89
[0.6827 0.6366 0.5629 0.4696 0.3581 0.2505 0.1489]
epoch=   88  step= 1150  Loss=1.3112  cls_acc=85.24  best_map=44.89
[0.6801 0.6368 0.5653 0.4715 0.3616 0.2507 0.1484]
epoch=   92  step= 1200  Loss=1.2983  cls_acc=84.29  best_map=44.89
[0.6758 0.6331 0.5630 0.4698 0.3612 0.2490 0.1497]
epoch=   96  step= 1250  Loss=1.2697  cls_acc=85.24  best_map=44.89
[0.6770 0.6331 0.5641 0.4750 0.3633 0.2485 0.1526]
epoch=   99  step= 1300  Loss=1.2553  cls_acc=83.81  best_map=44.89
[0.6705 0.6282 0.5586 0.4712 0.3601 0.2479 0.1486]
epoch=  103  step= 1350  Loss=1.2464  cls_acc=84.29  best_map=44.89
[0.6810 0.6376 0.5643 0.4736 0.3608 0.2491 0.1482]
epoch=  107  step= 1400  Loss=1.2113  cls_acc=85.24  best_map=44.89
[0.6778 0.6337 0.5639 0.4745 0.3666 0.2528 0.1517]
epoch=  111  step= 1450  Loss=1.1977  cls_acc=85.71  best_map=44.89
[0.6778 0.6343 0.5640 0.4784 0.3691 0.2550 0.1528]
epoch=  115  step= 1500  Loss=1.1766  cls_acc=82.86  best_map=44.89
[0.6794 0.6349 0.5578 0.4727 0.3658 0.2536 0.1545]
epoch=  119  step= 1550  Loss=1.1776  cls_acc=83.33  best_map=44.89
[0.6749 0.6314 0.5622 0.4738 0.3646 0.2509 0.1524]
epoch=  123  step= 1600  Loss=1.1425  cls_acc=82.86  best_map=44.89
[0.6791 0.6364 0.5640 0.4751 0.3642 0.2528 0.1521]
epoch=  126  step= 1650  Loss=1.1342  cls_acc=84.29  best_map=44.89
