[0.2411 0.2146 0.1909 0.1585 0.1220 0.0867 0.0484]
epoch=    3  step=   50  Loss=4.8957  cls_acc=42.38  best_map=15.17
[0.3824 0.3465 0.3116 0.2647 0.2023 0.1410 0.0765]
epoch=    7  step=  100  Loss=4.0931  cls_acc=58.57  best_map=24.64
[0.4498 0.4065 0.3598 0.2991 0.2271 0.1636 0.0892]
epoch=   11  step=  150  Loss=3.5519  cls_acc=61.43  best_map=28.50
[0.5293 0.4831 0.4238 0.3579 0.2753 0.1967 0.1136]
epoch=   15  step=  200  Loss=3.1264  cls_acc=67.62  best_map=34.00
[0.5559 0.5082 0.4502 0.3745 0.2887 0.2039 0.1195]
epoch=   19  step=  250  Loss=2.8523  cls_acc=72.38  best_map=35.73
[0.5774 0.5276 0.4688 0.3883 0.3005 0.2095 0.1222]
epoch=   23  step=  300  Loss=2.5987  cls_acc=73.33  best_map=37.06
[0.5811 0.5334 0.4747 0.3924 0.3070 0.2158 0.1247]
epoch=   26  step=  350  Loss=2.4008  cls_acc=73.81  best_map=37.56
[0.5859 0.5383 0.4789 0.3988 0.3082 0.2199 0.1253]
epoch=   30  step=  400  Loss=2.2446  cls_acc=73.81  best_map=37.93
[0.6299 0.5782 0.5079 0.4224 0.3291 0.2304 0.1332]
epoch=   34  step=  450  Loss=2.1357  cls_acc=80.48  best_map=40.45
[0.6240 0.5746 0.5086 0.4251 0.3304 0.2357 0.1369]
epoch=   38  step=  500  Loss=2.0437  cls_acc=78.57  best_map=40.50
[0.6424 0.5920 0.5218 0.4365 0.3377 0.2371 0.1362]
epoch=   42  step=  550  Loss=1.9385  cls_acc=81.90  best_map=41.48
[0.6528 0.5999 0.5295 0.4416 0.3455 0.2429 0.1416]
epoch=   46  step=  600  Loss=1.8909  cls_acc=81.90  best_map=42.20
[0.6464 0.5938 0.5250 0.4359 0.3391 0.2331 0.1422]
epoch=   49  step=  650  Loss=1.8143  cls_acc=82.38  best_map=42.20
[0.6503 0.6008 0.5322 0.4410 0.3428 0.2438 0.1407]
epoch=   53  step=  700  Loss=1.7793  cls_acc=81.90  best_map=42.20
[0.6619 0.6112 0.5381 0.4471 0.3443 0.2443 0.1452]
epoch=   57  step=  750  Loss=1.7302  cls_acc=83.33  best_map=42.74
[0.6630 0.6141 0.5436 0.4544 0.3507 0.2474 0.1451]
epoch=   61  step=  800  Loss=1.6638  cls_acc=81.43  best_map=43.12
[0.6662 0.6199 0.5482 0.4626 0.3533 0.2501 0.1481]
epoch=   65  step=  850  Loss=1.6374  cls_acc=81.90  best_map=43.55
[0.6690 0.6206 0.5494 0.4586 0.3551 0.2484 0.1457]
epoch=   69  step=  900  Loss=1.5963  cls_acc=82.86  best_map=43.55
[0.6742 0.6246 0.5521 0.4629 0.3548 0.2477 0.1495]
epoch=   73  step=  950  Loss=1.5612  cls_acc=83.33  best_map=43.80
[0.6748 0.6252 0.5539 0.4601 0.3543 0.2498 0.1515]
epoch=   76  step= 1000  Loss=1.5158  cls_acc=82.86  best_map=43.85
[0.6782 0.6276 0.5588 0.4641 0.3580 0.2499 0.1504]
epoch=   80  step= 1050  Loss=1.5029  cls_acc=82.86  best_map=44.10
[0.6744 0.6262 0.5563 0.4630 0.3550 0.2490 0.1504]
epoch=   84  step= 1100  Loss=1.4589  cls_acc=83.33  best_map=44.10
[0.6858 0.6351 0.5645 0.4699 0.3603 0.2509 0.1514]
epoch=   88  step= 1150  Loss=1.4223  cls_acc=85.71  best_map=44.54
[0.6782 0.6316 0.5568 0.4651 0.3552 0.2462 0.1462]
epoch=   92  step= 1200  Loss=1.4117  cls_acc=84.76  best_map=44.54
[0.6826 0.6351 0.5622 0.4701 0.3597 0.2475 0.1504]
epoch=   96  step= 1250  Loss=1.3799  cls_acc=84.76  best_map=44.54
[0.6776 0.6311 0.5582 0.4697 0.3534 0.2440 0.1453]
epoch=   99  step= 1300  Loss=1.3633  cls_acc=85.24  best_map=44.54
[0.6790 0.6314 0.5579 0.4685 0.3552 0.2465 0.1478]
epoch=  103  step= 1350  Loss=1.3490  cls_acc=84.76  best_map=44.54
[0.6859 0.6368 0.5637 0.4681 0.3562 0.2463 0.1472]
epoch=  107  step= 1400  Loss=1.3135  cls_acc=86.19  best_map=44.54
[0.6767 0.6308 0.5579 0.4659 0.3513 0.2431 0.1472]
epoch=  111  step= 1450  Loss=1.2956  cls_acc=85.24  best_map=44.54
[0.6777 0.6317 0.5584 0.4690 0.3530 0.2430 0.1460]
epoch=  115  step= 1500  Loss=1.2703  cls_acc=85.24  best_map=44.54
[0.6847 0.6398 0.5621 0.4686 0.3601 0.2523 0.1509]
