(AICL) root@4c91ca1b33d2:~/conda/share/doc/AICL# sh ./scripts/train.sh
Using device: cuda
[0.2778 0.2521 0.2264 0.1942 0.1508 0.1056 0.0620]
epoch=    3  step=   50  Loss=4.9291  cls_acc=46.67  best_map=18.13
[0.3691 0.3344 0.3010 0.2588 0.2006 0.1451 0.0834]
epoch=    7  step=  100  Loss=4.1472  cls_acc=59.05  best_map=24.18
[0.4279 0.3867 0.3421 0.2862 0.2237 0.1649 0.0942]
epoch=   11  step=  150  Loss=3.5957  cls_acc=62.38  best_map=27.51
[0.4962 0.4560 0.4055 0.3445 0.2760 0.2026 0.1225]
epoch=   15  step=  200  Loss=3.1485  cls_acc=67.14  best_map=32.90
[0.5344 0.4918 0.4381 0.3723 0.2949 0.2186 0.1333]
epoch=   19  step=  250  Loss=2.8657  cls_acc=73.81  best_map=35.48
[0.5412 0.4996 0.4461 0.3791 0.3010 0.2216 0.1321]
epoch=   23  step=  300  Loss=2.6189  cls_acc=73.33  best_map=36.01
[0.5507 0.5092 0.4546 0.3863 0.3083 0.2259 0.1349]
epoch=   26  step=  350  Loss=2.4267  cls_acc=74.29  best_map=36.71
[0.5469 0.5045 0.4516 0.3853 0.3062 0.2278 0.1384]
epoch=   30  step=  400  Loss=2.2793  cls_acc=73.81  best_map=36.71
[0.5990 0.5520 0.4922 0.4173 0.3302 0.2429 0.1452]
epoch=   34  step=  450  Loss=2.1745  cls_acc=80.95  best_map=39.70
[0.6003 0.5545 0.4962 0.4241 0.3370 0.2495 0.1493]
epoch=   38  step=  500  Loss=2.0803  cls_acc=80.00  best_map=40.16
[0.6129 0.5661 0.5041 0.4252 0.3387 0.2484 0.1487]
epoch=   42  step=  550  Loss=1.9841  cls_acc=82.38  best_map=40.63
[0.6211 0.5738 0.5121 0.4329 0.3451 0.2515 0.1483]
epoch=   46  step=  600  Loss=1.9387  cls_acc=81.43  best_map=41.21
[0.6232 0.5753 0.5118 0.4378 0.3537 0.2555 0.1548]
epoch=   49  step=  650  Loss=1.8645  cls_acc=82.38  best_map=41.60
[0.6243 0.5770 0.5160 0.4361 0.3516 0.2535 0.1500]
epoch=   53  step=  700  Loss=1.8337  cls_acc=79.52  best_map=41.60
[0.6374 0.5900 0.5247 0.4468 0.3582 0.2594 0.1574]
epoch=   57  step=  750  Loss=1.7945  cls_acc=81.90  best_map=42.48
[0.6321 0.5859 0.5217 0.4427 0.3557 0.2566 0.1561]
epoch=   61  step=  800  Loss=1.7306  cls_acc=80.95  best_map=42.48
[0.6399 0.5944 0.5312 0.4527 0.3601 0.2619 0.1615]
epoch=   65  step=  850  Loss=1.7079  cls_acc=82.38  best_map=42.88
[0.6441 0.5973 0.5348 0.4558 0.3657 0.2661 0.1597]
epoch=   69  step=  900  Loss=1.6704  cls_acc=83.33  best_map=43.19
[0.6461 0.5986 0.5330 0.4576 0.3690 0.2643 0.1630]
epoch=   73  step=  950  Loss=1.6441  cls_acc=81.90  best_map=43.31
[0.6456 0.5996 0.5350 0.4585 0.3691 0.2672 0.1590]
epoch=   76  step= 1000  Loss=1.6048  cls_acc=81.90  best_map=43.34
[0.6473 0.6009 0.5370 0.4622 0.3724 0.2665 0.1663]
epoch=   80  step= 1050  Loss=1.5973  cls_acc=83.33  best_map=43.61
[0.6504 0.6030 0.5380 0.4601 0.3700 0.2652 0.1631]
epoch=   84  step= 1100  Loss=1.5602  cls_acc=81.90  best_map=43.61
[0.6525 0.6051 0.5382 0.4604 0.3735 0.2658 0.1643]
epoch=   88  step= 1150  Loss=1.5256  cls_acc=85.71  best_map=43.71
[0.6461 0.6012 0.5376 0.4610 0.3714 0.2649 0.1611]
epoch=   92  step= 1200  Loss=1.5210  cls_acc=84.29  best_map=43.71
[0.6492 0.6047 0.5394 0.4631 0.3728 0.2652 0.1615]
epoch=   96  step= 1250  Loss=1.4920  cls_acc=84.76  best_map=43.71
[0.6457 0.6023 0.5399 0.4570 0.3658 0.2605 0.1570]
epoch=   99  step= 1300  Loss=1.4804  cls_acc=85.24  best_map=43.71
[0.6497 0.6068 0.5401 0.4612 0.3704 0.2640 0.1600]
epoch=  103  step= 1350  Loss=1.4734  cls_acc=85.24  best_map=43.71
[0.6530 0.6068 0.5405 0.4634 0.3726 0.2653 0.1610]
epoch=  107  step= 1400  Loss=1.4375  cls_acc=84.29  best_map=43.75
[0.6514 0.6089 0.5429 0.4661 0.3736 0.2672 0.1612]
epoch=  111  step= 1450  Loss=1.4247  cls_acc=84.29  best_map=43.88
[0.6519 0.6097 0.5430 0.4635 0.3724 0.2679 0.1609]
epoch=  115  step= 1500  Loss=1.4047  cls_acc=85.71  best_map=43.88
[0.6564 0.6109 0.5421 0.4650 0.3765 0.2655 0.1665]
epoch=  119  step= 1550  Loss=1.4110  cls_acc=84.29  best_map=44.04
[0.6551 0.6106 0.5431 0.4675 0.3751 0.2687 0.1616]
epoch=  123  step= 1600  Loss=1.3775  cls_acc=86.67  best_map=44.04
[0.6552 0.6123 0.5443 0.4650 0.3750 0.2691 0.1627]
epoch=  126  step= 1650  Loss=1.3677  cls_acc=85.24  best_map=44.05
[0.6574 0.6116 0.5435 0.4655 0.3763 0.2660 0.1677]
epoch=  130  step= 1700  Loss=1.3548  cls_acc=85.24  best_map=44.11
[0.6577 0.6126 0.5456 0.4685 0.3764 0.2672 0.1635]
epoch=  134  step= 1750  Loss=1.3500  cls_acc=86.19  best_map=44.16
[0.6546 0.6106 0.5429 0.4654 0.3730 0.2682 0.1616]
epoch=  138  step= 1800  Loss=1.3239  cls_acc=86.67  best_map=44.16
[0.6565 0.6129 0.5456 0.4661 0.3738 0.2694 0.1601]
epoch=  142  step= 1850  Loss=1.3300  cls_acc=86.19  best_map=44.16
[0.6571 0.6127 0.5452 0.4669 0.3744 0.2676 0.1639]
epoch=  146  step= 1900  Loss=1.3029  cls_acc=86.67  best_map=44.16
[0.6650 0.6194 0.5509 0.4723 0.3790 0.2698 0.1690]
