(AICL) root@4c91ca1b33d2:~/conda/share/doc/AICL# sh ./scripts/train.sh
Using device: cuda
[0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000]
epoch=    3  step=   50  Loss=5.5815  cls_acc=12.86  best_map= 0.00
[0.0277 0.0202 0.0135 0.0093 0.0052 0.0021 0.0009]
epoch=    7  step=  100  Loss=5.3590  cls_acc=25.24  best_map= 1.13
[0.1111 0.0873 0.0641 0.0448 0.0287 0.0159 0.0071]
epoch=   11  step=  150  Loss=5.1821  cls_acc=27.14  best_map= 5.13
[0.1776 0.1603 0.1392 0.1121 0.0798 0.0579 0.0293]
epoch=   15  step=  200  Loss=4.9777  cls_acc=34.29  best_map=10.80
[0.2666 0.2444 0.2156 0.1851 0.1422 0.1039 0.0569]
epoch=   19  step=  250  Loss=4.6269  cls_acc=46.19  best_map=17.35
[0.3425 0.3144 0.2830 0.2381 0.1847 0.1307 0.0716]
epoch=   23  step=  300  Loss=4.2528  cls_acc=53.33  best_map=22.36
[0.4114 0.3777 0.3359 0.2801 0.2209 0.1545 0.0856]
epoch=   26  step=  350  Loss=4.0502  cls_acc=60.95  best_map=26.66
[0.4194 0.3856 0.3384 0.2829 0.2215 0.1557 0.0929]
epoch=   30  step=  400  Loss=3.8256  cls_acc=60.48  best_map=27.09
[0.4548 0.4175 0.3646 0.3026 0.2349 0.1687 0.0978]
epoch=   34  step=  450  Loss=4.1337  cls_acc=64.76  best_map=29.15
[0.4783 0.4324 0.3813 0.3175 0.2476 0.1787 0.1031]
epoch=   38  step=  500  Loss=3.8909  cls_acc=65.71  best_map=30.56
[0.5004 0.4504 0.3928 0.3237 0.2534 0.1839 0.1087]
epoch=   42  step=  550  Loss=3.5036  cls_acc=71.43  best_map=31.62
[0.5546 0.4985 0.4291 0.3572 0.2770 0.2007 0.1158]
epoch=   46  step=  600  Loss=3.3949  cls_acc=78.57  best_map=34.76
[0.5573 0.5033 0.4354 0.3532 0.2739 0.1978 0.1111]
epoch=   49  step=  650  Loss=3.2746  cls_acc=79.52  best_map=34.76
[0.5323 0.4804 0.4178 0.3445 0.2654 0.1917 0.1118]
epoch=   53  step=  700  Loss=3.1209  cls_acc=71.90  best_map=34.76
[0.5635 0.5080 0.4377 0.3625 0.2783 0.2016 0.1186]
epoch=   57  step=  750  Loss=3.0990  cls_acc=77.62  best_map=35.29
[0.5689 0.5111 0.4396 0.3654 0.2799 0.1994 0.1142]
epoch=   61  step=  800  Loss=3.0338  cls_acc=80.95  best_map=35.41
[0.5530 0.4965 0.4316 0.3589 0.2718 0.1993 0.1141]
epoch=   65  step=  850  Loss=2.8825  cls_acc=80.95  best_map=35.41
[0.5657 0.5113 0.4422 0.3657 0.2789 0.1996 0.1124]
epoch=   69  step=  900  Loss=2.7526  cls_acc=81.43  best_map=35.41
[0.5688 0.5120 0.4400 0.3579 0.2816 0.1966 0.1145]
epoch=   73  step=  950  Loss=2.6590  cls_acc=80.95  best_map=35.41
[0.5487 0.4951 0.4268 0.3537 0.2670 0.1920 0.1117]
epoch=   76  step= 1000  Loss=2.5674  cls_acc=80.00  best_map=35.41
[0.5761 0.5168 0.4443 0.3694 0.2763 0.1979 0.1129]
epoch=   80  step= 1050  Loss=2.4924  cls_acc=81.43  best_map=35.62
[0.5422 0.4883 0.4235 0.3530 0.2693 0.1928 0.1126]
epoch=   84  step= 1100  Loss=2.4681  cls_acc=76.19  best_map=35.62
[0.5512 0.4934 0.4273 0.3587 0.2705 0.1942 0.1114]
epoch=   88  step= 1150  Loss=2.4344  cls_acc=77.14  best_map=35.62
[0.5545 0.4953 0.4341 0.3601 0.2761 0.1933 0.1136]
epoch=   92  step= 1200  Loss=2.4374  cls_acc=77.62  best_map=35.62
[0.5771 0.5184 0.4482 0.3709 0.2817 0.1984 0.1136]
epoch=   96  step= 1250  Loss=2.5669  cls_acc=80.48  best_map=35.83
[0.5645 0.5028 0.4341 0.3581 0.2752 0.1956 0.1131]
epoch=   99  step= 1300  Loss=2.4174  cls_acc=79.52  best_map=35.83
[0.5605 0.4997 0.4321 0.3567 0.2692 0.1936 0.1118]
epoch=  103  step= 1350  Loss=2.3958  cls_acc=78.10  best_map=35.83
