Using device: cuda
[0.3061 0.2787 0.2471 0.2126 0.1636 0.1166 0.0676]
epoch=    3  step=   50  Loss=4.7747  cls_acc=53.33  best_map=19.89
[0.3868 0.3462 0.3113 0.2635 0.2065 0.1478 0.0852]
epoch=    7  step=  100  Loss=3.9100  cls_acc=60.95  best_map=24.96
[0.4672 0.4271 0.3763 0.3163 0.2526 0.1827 0.1013]
epoch=   11  step=  150  Loss=3.2927  cls_acc=65.71  best_map=30.34
[0.4815 0.4404 0.3960 0.3355 0.2656 0.1965 0.1212]
epoch=   15  step=  200  Loss=2.8026  cls_acc=67.62  best_map=31.95
[0.5487 0.5004 0.4448 0.3743 0.2964 0.2188 0.1315]
epoch=   19  step=  250  Loss=2.4950  cls_acc=74.29  best_map=35.93
[0.5813 0.5326 0.4729 0.3974 0.3116 0.2303 0.1349]
epoch=   23  step=  300  Loss=2.2379  cls_acc=76.19  best_map=38.02
[0.5877 0.5405 0.4786 0.4046 0.3230 0.2361 0.1353]
epoch=   26  step=  350  Loss=2.0528  cls_acc=80.00  best_map=38.65
[0.5890 0.5414 0.4823 0.4077 0.3251 0.2377 0.1390]
epoch=   30  step=  400  Loss=1.9124  cls_acc=81.43  best_map=38.89
[0.6397 0.5899 0.5245 0.4407 0.3549 0.2571 0.1503]
epoch=   34  step=  450  Loss=1.8146  cls_acc=84.76  best_map=42.24
[0.6405 0.5937 0.5288 0.4463 0.3605 0.2622 0.1561]
epoch=   38  step=  500  Loss=1.7254  cls_acc=85.71  best_map=42.69
[0.6447 0.5948 0.5315 0.4492 0.3583 0.2570 0.1539]
epoch=   42  step=  550  Loss=1.6332  cls_acc=85.71  best_map=42.70
[0.6515 0.5971 0.5254 0.4463 0.3600 0.2564 0.1526]
epoch=   46  step=  600  Loss=1.5964  cls_acc=85.71  best_map=42.71
[0.6528 0.6009 0.5325 0.4506 0.3634 0.2623 0.1582]
epoch=   49  step=  650  Loss=1.5234  cls_acc=86.67  best_map=43.16
[0.6591 0.6067 0.5376 0.4555 0.3650 0.2615 0.1554]
epoch=   53  step=  700  Loss=1.4859  cls_acc=87.14  best_map=43.44
[0.6633 0.6099 0.5409 0.4610 0.3696 0.2635 0.1575]
epoch=   57  step=  750  Loss=1.4503  cls_acc=86.19  best_map=43.80
[0.6679 0.6183 0.5456 0.4658 0.3692 0.2630 0.1578]
epoch=   61  step=  800  Loss=1.3884  cls_acc=87.62  best_map=44.11
[0.6664 0.6163 0.5477 0.4673 0.3729 0.2646 0.1617]
epoch=   65  step=  850  Loss=1.3658  cls_acc=88.57  best_map=44.24
[0.6764 0.6262 0.5516 0.4662 0.3737 0.2633 0.1621]
epoch=   69  step=  900  Loss=1.3245  cls_acc=87.14  best_map=44.56
[0.6744 0.6186 0.5459 0.4634 0.3701 0.2657 0.1646]
epoch=   73  step=  950  Loss=1.3021  cls_acc=86.67  best_map=44.56
[0.6811 0.6311 0.5577 0.4704 0.3754 0.2661 0.1641]
epoch=   76  step= 1000  Loss=1.2673  cls_acc=86.67  best_map=44.94
[0.6761 0.6218 0.5464 0.4661 0.3691 0.2640 0.1616]
epoch=   80  step= 1050  Loss=1.2537  cls_acc=86.67  best_map=44.94
[0.6734 0.6236 0.5530 0.4684 0.3762 0.2660 0.1625]
epoch=   84  step= 1100  Loss=1.2161  cls_acc=85.24  best_map=44.94
[0.6754 0.6227 0.5505 0.4669 0.3764 0.2657 0.1623]
epoch=   88  step= 1150  Loss=1.1827  cls_acc=86.19  best_map=44.94
[0.6749 0.6253 0.5527 0.4701 0.3765 0.2669 0.1580]
epoch=   92  step= 1200  Loss=1.1787  cls_acc=86.67  best_map=44.94
[0.6791 0.6285 0.5552 0.4744 0.3760 0.2678 0.1625]
epoch=   96  step= 1250  Loss=1.1492  cls_acc=86.67  best_map=44.94
[0.6759 0.6279 0.5570 0.4724 0.3740 0.2679 0.1585]
epoch=   99  step= 1300  Loss=1.1299  cls_acc=86.19  best_map=44.94
[0.6774 0.6278 0.5509 0.4679 0.3741 0.2633 0.1621]
epoch=  103  step= 1350  Loss=1.1212  cls_acc=86.67  best_map=44.94
[0.6811 0.6324 0.5565 0.4755 0.3786 0.2681 0.1598]
epoch=  107  step= 1400  Loss=1.0913  cls_acc=86.67  best_map=45.03
[0.6794 0.6327 0.5540 0.4720 0.3768 0.2669 0.1605]
epoch=  111  step= 1450  Loss=1.0812  cls_acc=86.19  best_map=45.03
[0.6694 0.6222 0.5508 0.4695 0.3677 0.2618 0.1576]
epoch=  115  step= 1500  Loss=1.0648  cls_acc=86.19  best_map=45.03
[0.6786 0.6308 0.5527 0.4729 0.3775 0.2671 0.1597]
epoch=  119  step= 1550  Loss=1.0658  cls_acc=86.19  best_map=45.03
[0.6728 0.6247 0.5525 0.4713 0.3699 0.2620 0.1587]
epoch=  123  step= 1600  Loss=1.0333  cls_acc=86.67  best_map=45.03
[0.6772 0.6291 0.5538 0.4705 0.3723 0.2644 0.1582]
epoch=  126  step= 1650  Loss=1.0236  cls_acc=86.19  best_map=45.03
[0.6775 0.6295 0.5543 0.4711 0.3736 0.2670 0.1623]
epoch=  130  step= 1700  Loss=1.0143  cls_acc=86.19  best_map=45.03
[0.6766 0.6283 0.5568 0.4727 0.3724 0.2621 0.1554]
epoch=  134  step= 1750  Loss=0.9984  cls_acc=86.67  best_map=45.03
[0.6749 0.6269 0.5570 0.4717 0.3705 0.2646 0.1605]
epoch=  138  step= 1800  Loss=0.9800  cls_acc=86.67  best_map=45.03
[0.6655 0.6166 0.5483 0.4687 0.3650 0.2575 0.1522]
epoch=  142  step= 1850  Loss=0.9872  cls_acc=86.67  best_map=45.03
[0.6755 0.6274 0.5570 0.4694 0.3697 0.2659 0.1584]
epoch=  146  step= 1900  Loss=0.9636  cls_acc=87.14  best_map=45.03
[0.6780 0.6308 0.5545 0.4704 0.3699 0.2632 0.1599]
epoch=  149  step= 1950  Loss=0.9442  cls_acc=85.71  best_map=45.03
[0.6801 0.6327 0.5589 0.4732 0.3730 0.2657 0.1621]
epoch=  153  step= 2000  Loss=0.9391  cls_acc=86.67  best_map=45.03
