[0.5205 0.4649 0.3956 0.3239 0.2416 0.1547 0.0863]
epoch=    3  step=   50  Loss=4.3460  cls_acc=70.95  best_map=31.25
[0.6115 0.5575 0.4759 0.3907 0.2914 0.1985 0.1105]
epoch=    7  step=  100  Loss=2.8102  cls_acc=77.14  best_map=37.66
[0.6437 0.5848 0.5026 0.4199 0.3147 0.2118 0.1189]
epoch=   11  step=  150  Loss=2.1950  cls_acc=87.14  best_map=39.95
[0.6527 0.5941 0.5159 0.4333 0.3174 0.2179 0.1248]
epoch=   15  step=  200  Loss=1.9200  cls_acc=84.76  best_map=40.80
[0.6819 0.6225 0.5383 0.4501 0.3328 0.2238 0.1294]
epoch=   19  step=  250  Loss=1.7746  cls_acc=86.67  best_map=42.56
[0.6807 0.6235 0.5333 0.4447 0.3328 0.2267 0.1270]
epoch=   23  step=  300  Loss=1.6648  cls_acc=89.05  best_map=42.56
[0.6867 0.6287 0.5424 0.4555 0.3402 0.2284 0.1262]
epoch=   26  step=  350  Loss=1.5880  cls_acc=90.48  best_map=42.97
[0.6884 0.6307 0.5445 0.4539 0.3405 0.2277 0.1289]
epoch=   30  step=  400  Loss=1.5327  cls_acc=90.48  best_map=43.07
[0.6840 0.6286 0.5442 0.4533 0.3391 0.2304 0.1294]
epoch=   34  step=  450  Loss=1.4897  cls_acc=90.00  best_map=43.07
[0.6844 0.6293 0.5447 0.4590 0.3384 0.2279 0.1325]
epoch=   38  step=  500  Loss=1.4572  cls_acc=88.57  best_map=43.09
[0.6971 0.6388 0.5572 0.4658 0.3481 0.2302 0.1336]
epoch=   42  step=  550  Loss=1.3989  cls_acc=90.95  best_map=43.87
[0.6936 0.6364 0.5442 0.4546 0.3427 0.2252 0.1278]
epoch=   46  step=  600  Loss=1.3884  cls_acc=90.95  best_map=43.87
[0.6928 0.6368 0.5450 0.4528 0.3415 0.2265 0.1321]
epoch=   49  step=  650  Loss=1.3496  cls_acc=90.48  best_map=43.87
[0.6947 0.6357 0.5486 0.4616 0.3475 0.2300 0.1372]
epoch=   53  step=  700  Loss=1.3447  cls_acc=90.95  best_map=43.87
[0.6990 0.6420 0.5506 0.4622 0.3470 0.2268 0.1326]
epoch=   57  step=  750  Loss=1.3261  cls_acc=91.43  best_map=43.87
[0.7008 0.6478 0.5638 0.4740 0.3531 0.2386 0.1418]
epoch=   61  step=  800  Loss=1.2988  cls_acc=90.95  best_map=44.57
